Longitude,Latitude,weight,depth_km,X,Y
139.6215,-20.5874,0.56,45,789355.300336674,679111.812006643
138.7867,-19.035,0.8,39.7,712220.622299421,854926.571359957
139.3427,-18.8585,0.8,41.6,771643.475239822,871103.39740376
140.3837,-18.7259,0.8,39.1,881866.241352187,878874.025085965
138.8232,-19.5585,0.8,40.5,712912.698744811,797041.941261338
139.3762,-19.4985,0.8,42.2,771016.428276177,800383.461929571
139.8825,-19.3301,0.24,39.4,825035.957397989,815710.441571958
138.7794,-19.959,0.8,37.1,705960.383947968,753206.674176311
139.3505,-19.9014,0.8,42.8,765736.666334499,756199.696722155
139.944,-19.8278,0.8,47.8,827997.489366767,760532.54832782
138.8323,-20.5162,0.8,41.5,708129.240134438,691637.197267251
139.8113,-20.3385,0.08,38.8,810689.685175163,705250.368730342
140.3468,-20.2064,0.08,34.6,867152.454262511,716192.133317322
138.7876,-21.0857,0.4,40,700118.649452042,629328.126965845
139.3954,-20.9573,0.8,46.8,763572.263120659,639886.21257364
139.8169,-20.7962,0.4,40,808138.876033726,654938.463598873
140.4047,-20.6982,0.4,49,869540.826907226,661774.641042078
139.2527,-21.356,0.56,43.1,746326.682128959,596982.970789686
139.8809,-21.3088,0.24,54.4,811214.272302149,598268.587091858
140.3605,-21.1958,0.8,39.6,861336.535680082,607472.969270786
140.8525,-21.1336,0.8,40.8,912424.38473409,610823.280320171
140.8949,-18.6462,0.56,41.8,936173.986480868,883961.820963666
141.3564,-18.5367,0.56,43.1,985558.717902687,892503.044724904
141.9,-18.4669,0.56,37.3,1043310.92175331,895808.205827879
140.8842,-19.1513,0.24,38.7,931109.529846086,828398.682683053
141.3206,-19.0656,0.08,34.3,977465.524467506,834520.037387408
140.8692,-19.627,0.56,39.4,925839.559158832,776162.837785136
141.9646,-19.3572,0.8,33.9,1042316.8048137,797258.664762318
142.4773,-19.4449,0.8,34.2,1095019.34169134,783256.306808941
140.859,-20.1082,0.24,40,921041.324341427,723338.676660417
141.4108,-20.0754,0.08,40,978576.360630177,722771.815245152
141.9433,-20.0136,0.64,34.1,1034373.68070342,725295.245900944
142.4848,-19.9004,0.4,45,1091616.45836637,733146.79570372
141.4167,-20.5795,0.08,40,975033.583058297,667376.9965188
141.9607,-20.4782,0.56,38,1032129.00526188,674149.192391483
142.4846,-20.4056,0.8,35.9,1086958.72610261,677697.715135306
141.95,-20.9343,0.08,41,1027053.38780688,624209.714232937
142.4972,-20.9077,0.56,36.4,1083652.27117335,622530.482789822
141.6179,-20.5619,0.64,40.6,995974.273637568,667730.640434703
141.7451,-20.5369,0.24,42,1009333.28332879,669459.14218368
141.8707,-20.549,0.32,38,1022211.01984825,667116.251313567
140.9372,-19.9079,0.4,38.4,930725.925854032,744775.164342163
141.0151,-19.8955,0.08,41,938922.562413237,745558.661770035
141.1039,-19.8382,0.08,40,948612.032762626,751190.166809613
141.18,-19.7921,0.08,36.5,956898.308854043,755680.79994683
141.2428,-19.7364,0.08,37.6,963883.798342765,761324.127206046
139.955338,-21.674221,0.8,50.3,816326.104738405,557711.721664887
140.236404,-21.251732,0.8,39.6,848167.358189032,602181.67536634
143.165527,-21.649466,0.24,38,1145234.33449045,535368.840898316
143.8113,-22.9174,0.24,37.8,1198219.73367539,390756.208636079
143.0632,-22.2725,0.08,42.5,1128751.02937666,468146.878369074
142.328,-21.638,0.08,41.9,1059634.98587546,543971.022272484
141.9106,-22.2371,0.08,40.1,1011718.31611085,481834.856389198
141.0467,-22.7133,0.01,50,919928.773023183,436367.137558581
139.0811,-22.9126,0.8,42.6,719063.319469752,427368.285699213
139.5948,-24.797,0.01,43,758695.099093284,218208.377261778
140.062164,-22.291384,0.4,44.2,822928.417316242,489384.212160308
140.603592,-21.909916,0.8,48,880974.848094716,527502.41342552
142.452499,-22.254627,0.01,47.9,1066753.65234208,475436.058744784
142.785614,-21.931387,0.01,39.4,1103710.25065737,507921.077228399
139.723953,-22.568661,0.01,56,786581.674994171,461181.560632179
140.464813,-22.882717,0.01,46.9,859600.438887883,421948.497130878
143.225159,-22.579649,0.01,42,1142224.91781791,433109.210997842
143.811142,-22.917536,0.01,38,1198202.35248687,390742.865000488
139.928009,-23.192139,0.01,42,803023.696390814,391639.872336961
144.243637,-23.505619,0.01,36,1235669.21910197,322371.552380789
142.606339,-23.7512,0.01,46,1068581.66406023,310577.947891338
143.828262,-23.752005,0.01,34,1191336.42812672,299503.211777693
144.588959,-24.092079,0.01,40,1263978.39976865,254986.264299957
140.632538,-24.564611,0.01,40,863955.104132083,236904.647335887
141.309647,-24.694952,0,48,930545.088440958,217832.665459458
141.60289,-24.440016,0.01,43,961931.323227129,243465.447371563
142.935364,-24.378332,0.01,37,1095677.30406469,239290.755600311
144.191727,-24.396736,0.01,43.4,1220989.60202262,225703.266339598
140.759781,-24.947529,0.01,50,873748.860649803,194194.126578771
141.543381,-25.382793,0.01,39.4,948150.054812441,140986.878263954
142.828934,-25.37365,0.01,39,1075660.48604982,131633.133239202
144.461838,-24.981621,0.01,54,1241612.25567817,159314.545749523
145.33316,-25.352463,0.01,50.6,1323810.12594664,110034.240026286
141.849091,-25.937788,0.01,35.4,973705.349474436,78079.7604214363
142.137741,-25.620668,0.01,48,1004978.00866741,110408.668919861
143.587036,-25.655478,0.01,44.3,1147917.40807206,94198.2900970168
144.449829,-25.93499,0.24,45.1,1230097.5485089,55580.4062970001
144.823395,-25.601498,0.01,39.5,1270599.47507994,88182.4186924826
145.730438,-25.960299,0,55.2,1355845.01559865,39649.5706836917
142.626144,-26.269999,0.01,39.9,1047279.49228655,35591.8507154193
143.384949,-26.520254,0.01,39,1119389.20317221,1766.29824102111
143.928452,-26.319017,0.01,36.9,1174757.88344814,18735.1537574716
145.19194,-26.294252,0.01,53,1299039.45498693,8996.31152487919
146.060272,-26.518923,0.01,50,1381454.71048757,-24709.0896538161
142.372391,-27.137482,0,36.8,1014500.70490039,-56937.0998518635
142.882523,-26.811228,0,36.5,1067361.94522633,-25582.9605823867
143.806442,-27.152515,0.01,37,1154219.99916787,-70949.9650188051
144.280899,-26.814425,0.01,38.2,1204069.1538858,-38568.9008044489
144.34726,-27.319929,0.01,42.6,1205127.50961374,-94265.4925365895
144.760376,-26.633505,0.01,38.6,1252927.46366049,-23553.5855211448
129.118372,-19.508087,0.3,41.55,-301332.001232085,818504.890574152
129.107707,-19.992586,0.3,39.6,-301217.995609322,765086.057262031
129.0999,-20.496937,0.3,38.95,-300749.312799829,709541.108111091
129.101797,-21.000637,0.3,37.85,-299274.703507865,654142.604894221
129.201807,-21.999922,0.3,44.7,-286504.439117171,544597.105294447
129.202119,-22.499849,0.3,43.75,-285250.890745293,489736.415558541
129.121329,-22.995026,0.15,49,-292242.051438069,435244.877430903
129.101877,-23.499958,0.15,49,-292939.929279706,379854.89572438
129.102183,-24.000019,0.15,45,-291645.522355602,325071.182558643
129.1026,-24.5007,0.3,44,-290339.203561683,270241.854100782
129.510839,-19.996783,0.15,37.838,-259230.570581434,765522.661525823
129.508018,-20.487258,0.3,37.9,-258453.344007815,711514.259801861
129.499763,-21.000067,0.09,39.9,-258186.975272153,655087.939192452
129.50055,-21.498849,0.03,38.178,-257015.283333925,600270.286647091
129.492433,-21.993182,0.03,48,-256766.451185596,545965.198714433
129.480996,-22.498362,0.15,40.55,-256825.979717362,490501.009789493
129.500625,-23.000047,0.06,50.95,-253730.516298741,435518.286687382
129.50024,-23.4998,0.21,49.95,-252679.797835832,380736.985758789
129.500334,-24.000243,0.09,42.75,-251579.556464628,325907.16862214
129.500292,-24.499818,0.21,45.025,-250495.35323018,271194.177376887
130.008426,-20.005521,0.3,36.914,-207399.616736801,765483.893444378
130.016787,-20.492769,0.3,40.35,-205682.261521301,711847.252334168
130.000956,-21.000123,0.24,44.354,-206436.094515696,656008.270972557
129.961647,-22.000342,0.15,44,-208712.458294177,546048.103877418
129.986812,-22.500177,0.21,43,-205257.098776183,491231.804691276
130.000245,-23.499652,0.24,44.6,-202143.538397289,381658.00358087
130.000371,-24.500653,0.21,44,-200385.816846603,271999.830213672
130.502345,-19.507826,0.27,37.5,-156620.227487157,821055.330166236
130.498089,-20.001698,0.3,38.95,-156414.682095918,766613.833893107
130.498803,-20.999807,0.09,47.982,-155027.990715954,656758.990607139
130.517022,-22.482201,0.09,51.1,-151225.109631707,493956.156689011
130.499593,-22.999814,0.09,53.425,-152324.424508233,437157.721311016
130.500302,-23.499986,0.3,47.083,-151598.063309263,382325.1829757
130.497736,-24.500882,0.15,45.192,-150546.592636604,272669.190001199
130.996491,-20.001692,0.15,36.1,-104510.598549542,767131.899856575
131.003048,-20.497057,0.27,40.6,-103394.98423336,712588.111875353
131.0255,-21.5013,0.06,42,-100210.116830179,602168.373025509
130.977806,-22.006704,0.15,49,-104662.952338389,546616.546578627
130.994797,-22.486891,0.09,38,-102501.679972805,493923.843700632
131.023113,-22.990195,0.09,44,-99185.1476601644,438736.421717273
130.999889,-23.535994,0.03,49.7,-101066.871910095,378880.839545004
131.000888,-24.499837,0.03,46,-100126.390520188,273285.446684515
131.498805,-19.498399,0.21,34.85,-52418.7044634481,822923.750053532
131.503745,-19.999165,0.21,35.05,-51684.0673425912,767725.539212191
131.499338,-20.495311,0.3,39.689,-51925.3774862851,713086.982542725
131.499786,-21.000884,0.03,46,-51657.5127298066,657463.69120351
131.4711,-21.4887,0.09,44,-54394.2369430824,603826.995090963
131.502344,-21.990202,0.3,43.55,-50962.8495518041,548753.274621207
131.498,-22.5069,0.03,44,-51181.1436459851,492035.959220553
131.465431,-22.993223,0.06,46,-54274.751731344,438674.418641815
131.468807,-24.036486,0.03,46,-53448.6446680643,324325.545755943
131.501147,-24.500188,0.03,45,-49992.9866027874,273545.795484476
132.000711,-19.499266,0.3,33.9,74.3613294804507,822932.655161634
131.999999,-19.998847,0.3,35.9,-0.104148754611227,767862.621315634
131.985685,-20.504603,0.03,47.5,-1484.54529189594,712167.555713037
132.000464,-20.999675,0.15,47.3,47.9182804806237,657699.455920095
131.993584,-22.001386,0.15,43.836,-656.974488248355,547626.119178394
131.9972,-22.4991,0.18,42.6,-285.49234312903,492994.072191322
131.999325,-23.499374,0.3,47.35,-68.234845857607,383296.822309643
132.0008,-24,0.21,48.4,80.5216938974536,328435.897807119
132.000354,-24.500236,0.06,46,35.4764957724977,273639.762316218
132.494693,-19.503508,0.3,35.4,51736.4623938356,822362.979514943
132.498801,-20.000273,0.3,38.6,51948.742756624,767602.41528661
132.500443,-20.496291,0.3,40.5,51902.2348091933,712979.203933522
132.499724,-21.000448,0.03,45,51607.1009548858,657511.840389831
132.501867,-21.500377,0.03,44,51608.9438100506,602555.280348955
132.508321,-21.995872,0.3,40.232,52052.48300144,548126.318946337
132.493092,-22.48578,0.21,45.817,50282.0310656868,494357.051890649
132.491107,-23.490412,0.3,44.45,49649.0612334834,384182.135356521
132.499701,-23.940813,0.03,43,50321.6161470023,334820.607867505
132.499276,-24.500665,0.3,43,50035.1701432748,273493.385907009
132.997,-20.4868,0.3,39.3,103408.919052783,713717.04685271
132.991205,-20.997177,0.3,42.95,102364.982995577,657570.476719862
132.925822,-21.991652,0.09,48.8,94807.7388877445,548345.737677179
132.999691,-22.489457,0.21,44.8,101937.387194992,493646.763903266
132.984808,-22.998363,0.03,53,99982.3456640257,437834.416829241
132.99175,-23.476603,0.3,47.3,100273.335320081,385397.104640096
132.9696,-24.032247,0.03,45,97564.0668461059,324526.54957662
133.5058,-19.5054,0.3,38.5,157475.172117376,821312.691731686
133.50141,-20.002186,0.15,49.9,156361.866217018,766560.695486901
133.4904,-20.495,0.15,40.7,154571.699999594,712308.064342538
133.498785,-20.987754,0.3,40.45,154794.724393877,658087.390005739
133.467468,-21.512811,0.03,48,150886.48402433,600411.082724141
133.49,-21.9929,0.06,40,152577.91986529,547653.410770088
133.495533,-22.496324,0.09,45.3,152486.890213244,492391.352512214
133.507542,-23.492294,0.03,45.1,152401.055557077,383158.753748553
133.5581,-23.9704,0.03,44.55,156862.253370789,330706.530164301
133.498283,-24.495031,0.3,45.45,150155.302763899,273314.717125274
134.016949,-21.49263,0.3,38.4,207416.052518216,601845.118567042
134.003476,-22.003406,0.21,43.35,205136.250130201,545769.138462802
134.001295,-22.491934,0.06,41,204059.039499268,492155.568724632
133.99428,-23.000375,0.06,50.9,202458.769890827,436399.075984055
133.989054,-23.498775,0.09,46,201063.448844603,381771.285660161
134.008891,-24.009097,0.03,44,202174.590076472,325823.27940139
133.998455,-24.50002,0.3,42.55,200269.280876411,272071.019837683
134.504058,-21.50039,0.3,39,257485.681712739,600091.556184873
134.50073,-21.999173,0.15,40.386,256053.368489801,545321.445258657
134.462,-22.494,0.09,45,251024.244535508,491094.741184667
134.520669,-23.00765,0.03,52,255875.220455345,434641.493537055
134.563422,-23.987517,0.03,46.5,258023.855714493,327171.901886091
134.495409,-24.496786,0.21,40.433,250071.20111403,271534.742518874
135.00728,-21.508875,0.3,39.6,309199.313414722,598024.836933587
134.999778,-21.971708,0.3,41.322,307214.699087321,547218.145109696
134.999202,-22.499131,0.21,47.45,305774.178820344,489341.780074699
134.983197,-22.983513,0.03,53.25,302881.51864936,436259.636338428
134.932154,-23.480302,0.06,45,296429.398806693,381929.019605318
135.00121,-24.502425,0.3,38.35,300735.217429472,269808.855264256
133.036041,-19.473352,0.8,36.5,108378.714922933,825344.04586841
133.0061,-20.0039,0.56,40,104778.485352888,766886.482798425
132.997,-20.4868,0.8,41.35,103408.919052783,713717.04685271
132.991165,-20.997169,0.8,42.933,102360.859089175,657571.389063256
132.98912,-21.506968,0.24,32,101708.592883649,601533.828216514
133.49469,-18.994886,0.8,41.8,156983.369584835,877657.827598844
133.505875,-19.505409,0.8,37.75,157483.003279004,821311.605223579
133.501389,-20.002199,0.24,49.833,156359.662199725,766559.289435118
133.490448,-20.49511,0.24,40,154576.534326108,712295.898288436
133.498795,-20.987762,0.4,37.77,154795.746653742,658086.49794719
134.00296,-18.499073,0.56,44.8,211234.674118166,931683.918560598
134.051315,-19.509954,0.56,48.479,214512.035763842,820003.125273436
133.997284,-19.987675,0.56,43,208025.445424381,767440.42318384
134.020889,-20.563314,0.8,38.25,209464.513330536,704021.483412161
133.995621,-20.999662,0.8,39,206083.444941674,656064.580259083
134.016937,-21.492636,0.4,40,207414.808004673,601844.479145793
134.518463,-17.993881,0.56,37.35,266713.499781748,986574.746825708
134.451172,-18.506021,0.56,42.5,258483.248258079,930078.361661309
134.498688,-19.522436,0.8,41.45,261262.163082828,817779.91170449
134.59903,-20.538568,0.8,42.75,269437.376276805,705643.002904024
134.500412,-21.002174,0.8,43,258200.434299649,654855.912481155
134.504074,-21.500433,0.8,39.3,257487.23259042,600086.799330452
135.01767,-17.570829,0.8,41.85,320696.718681938,1032247.03349481
134.991241,-17.975084,0.24,51.5,316823.050475361,987557.153222842
135.011612,-19.003162,0.8,43.45,316256.995236362,873888.016089344
135.001816,-19.502329,0.24,55.325,313912.891965281,818845.557808293
135.059448,-20.10265,0.24,42.05,318327.857124265,752552.153131207
135.00322,-20.500202,0.8,40.9,311432.586486883,708930.661997169
135.002701,-20.998663,0.8,40.4,310068.561428967,654106.292068213
135.007263,-21.508905,0.56,40.55,309197.486984644,598021.583228268
135.5127,-17.5061,0.56,52,373492.755054872,1038050.36696763
135.493561,-17.983019,0.56,47.2,369990.107382499,985306.516696148
135.499542,-18.503462,0.56,51.2,369020.507683951,927743.774071705
135.457932,-19.0082,0.64,55.4,363099.818590225,872125.587092567
135.501846,-19.499657,0.56,47.1,366198.836006713,817787.112393515
135.420868,-20.101753,0.8,48.727,355926.589283795,751681.378006767
135.485672,-20.497974,0.56,50.333,361457.504766393,707884.203928975
135.495743,-21.002357,0.56,46.2,360958.159292913,652383.875992391
135.502869,-21.49325,0.56,44.48,360189.84318902,598421.317908773
135.995651,-17.510273,0.16,43,424812.237915869,1036054.16778321
136.0005,-17.9908,0.56,42.7,423633.741944801,982844.982531758
135.972015,-19.004822,0.64,52.236,417076.028386464,870902.656561509
135.998611,-19.501511,0.64,51.75,418124.136857211,816032.551638231
136.005157,-20.016565,0.64,42.775,416999.299572772,759265.082159227
136.001984,-20.501301,0.64,40.621,414969.478082826,705923.209194155
135.96843,-21.001078,0.8,40.5,409755.344018951,651075.026283456
136.012787,-21.522038,0.8,44.05,412505.551619225,593691.792364193
136.510849,-17.504906,0.8,39.5,479586.559516524,1034794.79986265
136.493088,-17.993021,0.8,45.1,475766.650363788,980836.624068663
136.5012,-19.4999,0.8,44.35,470663.676777173,814432.888465634
136.54071,-19.954823,0.8,40.95,472981.622083505,764167.501918614
136.490234,-20.500771,0.8,38.9,465578.289028016,704270.986851126
136.493301,-21.054501,0.8,38.05,463718.499468466,643379.469871426
136.484192,-21.472944,0.8,39.35,461137.899034947,597444.824562119
136.998932,-17.510689,0.8,40.4,531427.274910452,1032191.06352852
137.006866,-18.006954,0.08,40.75,530081.133848716,977239.52083428
136.991592,-19.000677,0.08,47,524102.944268183,867542.086690197
137.0003,-19.5007,0.4,40.5,522821.913939183,812371.916283421
136.989944,-19.998081,0.8,40.92,519563.253770325,757630.686313333
136.99231,-21.502054,0.8,38.02,513237.766627657,592278.489329783
137.503403,-17.49448,0.8,40.7,585102.587989377,1031744.88652353
137.498108,-19.010635,0.8,46.76,577205.224072332,864224.170237267
137.498413,-19.50111,0.8,42.086,574869.959316362,810151.317696173
137.50444,-19.993135,0.8,44.05,573124.83886959,755938.421471035
137.508392,-21.501684,0.8,38.5,566263.314364629,590102.566329524
137.987045,-17.523609,0.8,40.25,636330.64777942,1026169.72265701
137.992172,-18.005106,0.8,42.8,634333.501822823,972879.130981967
137.937851,-18.637215,0.8,45.4,625285.613803621,903324.489012899
137.99408,-19.502796,0.8,42.3,626646.381660335,807596.076953907
137.994781,-19.995962,0.4,41.25,624127.373380803,753291.568148689
137.987656,-20.491608,0.56,43.35,620786.51929226,698806.404699143
137.9944,-20.996269,0.8,44.875,618837.754265046,643312.238696089
137.99527,-21.495659,0.8,41.9,616309.567136346,588473.150608934
138.488846,-18.008242,0.8,40.55,686848.735839267,969921.699392339
138.5172,-18.503,0.24,43.6,687010.640940496,915115.320204595
138.4993,-19.0003,0.08,38.5,682285.371122723,860346.918000154
138.499557,-19.49971,0.4,39.5,679463.381462992,805309.278836994
138.496948,-19.999426,0.8,39.25,676344.373105097,750312.120337086
138.495056,-20.499891,0.4,42,673300.479287967,695283.352201451
138.5103,-20.984919,0.8,44.35,672116.067901048,641909.125568047
138.490982,-21.508684,0.8,40.45,667150.932322337,584512.361719443
138.995453,-19.501919,0.8,41.95,731239.116910169,802282.695562618
139.001541,-19.999092,0.8,40.85,728823.093171991,747527.860545227
138.996872,-20.506624,0.4,41,725227.42923757,691751.093735304
138.979233,-21.020744,0.8,40.25,720261.392936336,635377.241654292
139.500992,-18.99593,0.24,43,787353.508787589,854971.594239937
139.501541,-19.500828,0.56,41,784087.269949185,799351.648186453
139.500122,-20.00108,0.8,42.48,780650.072386498,744314.891562561
139.500076,-21.000578,0.08,58.4,774083.391648977,634494.594968822
139.498779,-21.500164,0.4,45,770674.660288376,579681.907815777
140.000732,-17.998072,0.08,34.11,846758.699237229,961820.328933347
139.994873,-19.009914,0.08,40.5,839028.561491648,850234.737657974
140.493317,-17.996857,0.08,34.686,898823.49974183,958533.493369171
140.513138,-18.504688,0.08,31.5,897115.682905574,902349.07183535
140.497513,-18.995928,0.08,36.55,891804.833992502,848314.264429897
